"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19"

2017-05,29706900.0,19527500.0,18235200.0,14734500.0,3500800.0,1292200.0,6.6,65.7,61.4,29706900.0,19737100.0,18434200.0,14940500.0,3493700.0,1302900.0,6.6,66.4,62.1,18230900.0
2017-06,29740800.0,19531300.0,18269100.0,14743400.0,3525800.0,1262100.0,6.5,65.7,61.4,29740800.0,19828600.0,18622300.0,15186800.0,3435500.0,1206300.0,6.1,66.7,62.6,18259600.0
2017-07,29778300.0,19528300.0,18290600.0,14796100.0,3494500.0,1237800.0,6.3,65.6,61.4,29778300.0,19878200.0,18565400.0,15373800.0,3191600.0,1312800.0,6.6,66.8,62.3,18291800.0
2017-08,29824000.0,19540600.0,18335700.0,14756100.0,3579600.0,1204900.0,6.2,65.5,61.5,29824000.0,19910100.0,18546200.0,15327200.0,3219000.0,1363900.0,6.9,66.8,62.2,18325800.0
2017-09,29859000.0,19548400.0,18332800.0,14825500.0,3507300.0,1215500.0,6.2,65.5,61.4,29859000.0,19501200.0,18385000.0,14924700.0,3460400.0,1116200.0,5.7,65.3,61.6,18357300.0
2017-10,29892900.0,19603100.0,18371200.0,14909100.0,3462100.0,1231800.0,6.3,65.6,61.5,29892900.0,19550600.0,18433300.0,14916700.0,3516600.0,1117300.0,5.7,65.4,61.7,18391700.0
2017-11,29925300.0,19623400.0,18439300.0,14938800.0,3500500.0,1184200.0,6.0,65.6,61.6,29925300.0,19516600.0,18440000.0,14822000.0,3618000.0,1076600.0,5.5,65.2,61.6,18423000.0
2017-12,29956700.0,19673000.0,18516100.0,14970900.0,3545200.0,1156900.0,5.9,65.7,61.8,29956700.0,19502800.0,18448700.0,14773100.0,3675500.0,1054100.0,5.4,65.1,61.6,18448500.0
2018-01,30001300.0,19604400.0,18435900.0,15016000.0,3419900.0,1168600.0,6.0,65.3,61.5,30001300.0,19331600.0,18113600.0,14576000.0,3537600.0,1218000.0,6.3,64.4,60.4,18464500.0
2018-02,30032200.0,19622200.0,18459000.0,14979400.0,3479700.0,1163200.0,5.9,65.3,61.5,30032200.0,19375500.0,18168600.0,14534100.0,3634500.0,1206900.0,6.2,64.5,60.5,18480200.0
2018-03,30069200.0,19671300.0,18515400.0,15057800.0,3457500.0,1155900.0,5.9,65.4,61.6,30069200.0,19463000.0,18231900.0,14655200.0,3576700.0,1231200.0,6.3,64.7,60.6,18493200.0
2018-04,30117600.0,19671400.0,18501400.0,15067900.0,3433500.0,1170000.0,5.9,65.3,61.4,30117600.0,19532300.0,18331400.0,14823100.0,3508300.0,1200800.0,6.1,64.9,60.9,18506000.0
2018-05,30156600.0,19674500.0,18492400.0,15046600.0,3445800.0,1182100.0,6.0,65.2,61.3,30156600.0,19893600.0,18688400.0,15250500.0,3437900.0,1205200.0,6.1,66.0,62.0,18519000.0
2018-06,30197400.0,19742500.0,18539400.0,15055100.0,3484300.0,1203100.0,6.1,65.4,61.4,30197400.0,20046300.0,18893800.0,15489800.0,3404000.0,1152500.0,5.7,66.4,62.6,18538200.0
2018-07,30249600.0,19761200.0,18605700.0,15052300.0,3553500.0,1155500.0,5.8,65.3,61.5,30249600.0,20070100.0,18855900.0,15626600.0,3229400.0,1214200.0,6.0,66.3,62.3,18564700.0
2018-08,30289200.0,19730700.0,18552200.0,15109200.0,3442900.0,1178600.0,6.0,65.1,61.3,30289200.0,20105200.0,18767600.0,15694300.0,3073300.0,1337600.0,6.7,66.4,62.0,18589200.0
2018-09,30328100.0,19786100.0,18619200.0,15084700.0,3534600.0,1166900.0,5.9,65.2,61.4,30328100.0,19742700.0,18665500.0,15185900.0,3479600.0,1077200.0,5.5,65.1,61.5,18623900.0
2018-10,30366600.0,19789000.0,18630900.0,15118200.0,3512700.0,1158200.0,5.9,65.2,61.4,30366600.0,19734300.0,18681900.0,15124500.0,3557500.0,1052400.0,5.3,65.0,61.5,18662700.0
2018-11,30402500.0,19883200.0,18741100.0,15207300.0,3533800.0,1142100.0,5.7,65.4,61.6,30402500.0,19773700.0,18737100.0,15087300.0,3649800.0,1036500.0,5.2,65.0,61.6,18709200.0
2018-12,30437200.0,19887200.0,18741000.0,15188100.0,3552900.0,1146200.0,5.8,65.3,61.6,30437200.0,19716100.0,18680200.0,14996000.0,3684200.0,1035900.0,5.3,64.8,61.4,18756100.0
2019-01,30479800.0,19996500.0,18815600.0,15216800.0,3598800.0,1180900.0,5.9,65.6,61.7,30479800.0,19712700.0,18483900.0,14770200.0,3713700.0,1228800.0,6.2,64.7,60.6,18806200.0
2019-02,30507800.0,20044500.0,18867300.0,15276600.0,3590700.0,1177200.0,5.9,65.7,61.8,30507800.0,19803000.0,18580600.0,14830900.0,3749700.0,1222400.0,6.2,64.9,60.9,18852900.0
2019-03,30542600.0,20030000.0,18860800.0,15282600.0,3578200.0,1169200.0,5.8,65.6,61.8,30542600.0,19829400.0,18586800.0,14887800.0,3698900.0,1242700.0,6.3,64.9,60.9,18893300.0
2019-04,30589000.0,20130200.0,18963300.0,15353600.0,3609700.0,1166900.0,5.8,65.8,62.0,30589000.0,19981100.0,18781600.0,15103400.0,3678200.0,1199400.0,6.0,65.3,61.4,18931500.0
2019-05,30630400.0,20079100.0,18985600.0,15379700.0,3605900.0,1093600.0,5.4,65.6,62.0,30630400.0,20296600.0,19175000.0,15577300.0,3597700.0,1121600.0,5.5,66.3,62.6,18963400.0
2019-06,30674700.0,20117000.0,18990000.0,15402400.0,3587600.0,1127000.0,5.6,65.6,61.9,30674700.0,20424200.0,19341900.0,15821400.0,3520500.0,1082300.0,5.3,66.6,63.1,18990700.0
2019-07,30727500.0,20134000.0,18968700.0,15393600.0,3575000.0,1165300.0,5.8,65.5,61.7,30727500.0,20453900.0,19223200.0,15959400.0,3263900.0,1230600.0,6.0,66.6,62.6,19010100.0
2019-08,30763600.0,20220500.0,19043900.0,15411800.0,3632100.0,1176600.0,5.8,65.7,61.9,30763600.0,20581000.0,19260400.0,16004100.0,3256300.0,1320600.0,6.4,66.9,62.6,19030500.0
2019-09,30808900.0,20205700.0,19081400.0,15473800.0,3607500.0,1124400.0,5.6,65.6,61.9,30808900.0,20204000.0,19178000.0,15550700.0,3627300.0,1026000.0,5.1,65.6,62.2,19073400.0
2019-10,30842300.0,20217200.0,19078800.0,15455800.0,3623000.0,1138400.0,5.6,65.6,61.9,30842300.0,20190000.0,19165700.0,15450500.0,3715200.0,1024300.0,5.1,65.5,62.1,19145900.0
2019-11,30872500.0,20215600.0,19020300.0,15431300.0,3589100.0,1195300.0,5.9,65.5,61.6,30872500.0,20137600.0,19028300.0,15309500.0,3718800.0,1109300.0,5.5,65.2,61.6,19132200.0
2019-12,30897900.0,20222900.0,19074300.0,15484300.0,3590000.0,1148700.0,5.7,65.5,61.7,30897900.0,20063500.0,19021500.0,15263000.0,3758500.0,1041900.0,5.2,64.9,61.6,18991000.0
2020-01,30924200.0,20243000.0,19106100.0,15519200.0,3586900.0,1136800.0,5.6,65.5,61.8,30924200.0,19948100.0,18769400.0,15066700.0,3702700.0,1178700.0,5.9,64.5,60.7,18728400.0
2020-02,30949300.0,20276000.0,19130300.0,15555500.0,3574800.0,1145700.0,5.7,65.5,61.8,30949300.0,20036100.0,18849900.0,15115900.0,3734000.0,1186200.0,5.9,64.7,60.9,18323300.0
2020-03,30978800.0,19687600.0,18133800.0,15086200.0,3047600.0,1553800.0,7.9,63.6,58.5,30978800.0,19447700.0,17795900.0,14660600.0,3135300.0,1651800.0,8.5,62.8,57.4,17840900.0
2020-04,30994300.0,18585400.0,16141600.0,13606600.0,2535000.0,2443900.0,13.1,60.0,52.1,30994300.0,18472600.0,15968800.0,13383500.0,2585300.0,2503900.0,13.6,59.6,51.5,17429200.0
2020-05,31009100.0,19053800.0,16444000.0,13861600.0,2582400.0,2609800.0,13.7,61.4,53.0,31009100.0,19270300.0,16603400.0,14021300.0,2582000.0,2666900.0,13.8,62.1,53.5,17248100.0
2020-06,31037000.0,19860100.0,17385700.0,14359500.0,3026200.0,2474400.0,12.5,64.0,56.0,31037000.0,20148900.0,17742300.0,14822500.0,2919700.0,2406600.0,11.9,64.9,57.2,17313600.0
2020-07,31061600.0,19985300.0,17802600.0,14454100.0,3348400.0,2182800.0,10.9,64.3,57.3,31061600.0,20331700.0,18038400.0,14948400.0,3090000.0,2293300.0,11.3,65.5,58.1,17564700.0
2020-08,31084700.0,20071100.0,18016300.0,14626400.0,3390000.0,2054800.0,10.2,64.6,58.0,31084700.0,20500500.0,18218300.0,15157100.0,3061200.0,2282200.0,11.1,66.0,58.6,17863200.0
2020-09,31114600.0,20246700.0,18388500.0,14909200.0,3479300.0,1858200.0,9.2,65.1,59.1,31114600.0,20185700.0,18475700.0,15001000.0,3474700.0,1710100.0,8.5,64.9,59.4,18161800.0
2020-10,31138800.0,20316200.0,18482900.0,14967300.0,3515600.0,1833200.0,9.0,65.2,59.4,31138800.0,20213700.0,18556300.0,14975800.0,3580400.0,1657400.0,8.2,64.9,59.6,18391100.0
2020-11,31161300.0,20279900.0,18537500.0,15077000.0,3460500.0,1742500.0,8.6,65.1,59.5,31161300.0,20158800.0,18539900.0,14964900.0,3575000.0,1618900.0,8.0,64.7,59.5,18475400.0
2020-12,31177500.0,20258800.0,18484800.0,15119700.0,3365100.0,1773900.0,8.8,65.0,59.3,31177500.0,20045100.0,18432400.0,14920000.0,3512400.0,1612700.0,8.0,64.3,59.1,18493300.0
2021-01,31191200.0,20171000.0,18272000.0,15132300.0,3139700.0,189900.0,9.4,64.7,58.6,31191200.0,19887600.0,17942300.0,14699700.0,3242600.0,1945300.0,9.8,63.8,57.5,18518100.0
2021-02,31216200.0,20196200.0,18531200.0,15220500.0,3310700.0,1665100.0,8.2,64.7,59.4,31216200.0,19972100.0,18251600.0,14800400.0,3451300.0,1720400.0,8.6,6.4,58.5,18566500.0
2021-03,31234500.0,20351100.0,18834300.0,15395900.0,3438500.0,1516700.0,7.5,65.2,60.3,31234500.0,20132500.0,18500800.0,14967400.0,3533400.0,1631700.0,8.1,64.5,59.2,18612500.0
2021-04,31251600.0,20267500.0,18627200.0,15266500.0,3360700.0,1640300.0,8.1,64.9,59.6,31251600.0,20115700.0,18427100.0,14999900.0,3427200.0,1688600.0,8.4,64.4,5.9,18655800.0
2021-05,31265900.0,20211600.0,18559200.0,15252700.0,3306500.0,1652300.0,8.2,64.6,59.4,31265900.0,20422500.0,18715800.0,15413900.0,3301900.0,1706700.0,8.4,65.3,59.9,1869600.0
2021-06,31283300.0,20381500.0,18789900.0,15219500.0,3570400.0,1591600.0,7.8,65.2,60.1,31283300.0,20685500.0,19159500.0,15700300.0,3459100.0,152600.0,7.4,66.1,61.2,18738600.0
2021-07,31315300.0,20405300.0,18883900.0,15302500.0,3581400.0,1521400.0,7.5,65.2,60.3,31315300.0,20746800.0,19143900.0,15849700.0,3294200.0,1602900.0,7.7,66.3,61.1,18783300.0


